id,url,landmark_id,category,hierarchical_label,natural_or_human_made
b7b8cd757498aeff,https://upload.wikimedia.org/wikipedia/commons/e/e8/Chittagong_University_Library_%2807%29.jpg,188755,http://commons.wikimedia.org/wiki/Category:Chittagong_University_Library,library,human-made
71b12f025b6be555,https://upload.wikimedia.org/wikipedia/commons/e/e8/%C3%89glise_Notre-Dame-de-l%27Assomption_de_Tamerville_-_Arc_triomphal_et_poutre_de_gloire.JPG,183393,http://commons.wikimedia.org/wiki/Category:%C3%89glise_Notre-Dame-de-l'Assomption_de_Tamerville,church,human-made
842f4d514d689d72,https://upload.wikimedia.org/wikipedia/commons/4/4a/Vignoble_de_Nice.jpg,76336,http://commons.wikimedia.org/wiki/Category:Parc_Phoenix_(Nice),zoo,human-made
88a64c9dd6a515ab,https://upload.wikimedia.org/wikipedia/commons/8/84/Tintern_Abbey_by_W.A._Call.jpg,90966,"http://commons.wikimedia.org/wiki/Category:Tintern_Abbey,_Wales",church,human-made
421faead1c16894f,http://upload.wikimedia.org/wikipedia/commons/4/40/St._Giragos_Armenian_Church_in_Diyarbak%C4%B1r_%282008%29_529.jpg,147682,http://commons.wikimedia.org/wiki/Category:Saint_Giragos_church_(Diyarbak%C4%B1r),church,human-made
6216fa55ade952b7,https://upload.wikimedia.org/wikipedia/commons/1/11/Damselflies_Along_Lake_Walkers_Edge_%2819952495286%29.jpg,123447,http://commons.wikimedia.org/wiki/Category:Walker_Lake_(Nevada),lake,natural
9c19ee11f0902178,https://upload.wikimedia.org/wikipedia/commons/b/bf/Mesa_%2834708929961%29.jpg,165900,http://commons.wikimedia.org/wiki/Category:Mount_Arapiles,mountain,natural
87e9eb7715b00157,https://upload.wikimedia.org/wikipedia/commons/7/78/49_Trondheim_09_river_university.jpg,176878,"http://commons.wikimedia.org/wiki/Category:Nidelva,_Tr%C3%B8ndelag",river,natural
bb08dec5c6be317f,https://upload.wikimedia.org/wikipedia/commons/0/0e/Sapal.JPG,79148,http://commons.wikimedia.org/wiki/Category:Ria_Formosa,lake,natural
7923eb11c6425c0e,https://upload.wikimedia.org/wikipedia/commons/3/3d/Porch_and_belltower_at_St_Peter%27s_Church%2C_Newborough%2C_Ynys_Mon%2C_Wales_12.jpg,48821,"http://commons.wikimedia.org/wiki/Category:St_Peter's_Church,_Newborough",church,human-made
86f7176771ad065f,https://upload.wikimedia.org/wikipedia/commons/8/8b/Kirnitzschtal%2C_01855_Sebnitz%2C_Germany_-_panoramio_%281%29.jpg,97671,http://commons.wikimedia.org/wiki/Category:Kirnitzschtalbahn,rail transportation,human-made
556e79d3e6898c64,https://upload.wikimedia.org/wikipedia/commons/7/76/Church_of_St_Michael_Paternoster_Royal_20130324_045.JPG,196776,http://commons.wikimedia.org/wiki/Category:St_Michael_Paternoster_Royal,church,human-made
c50cdf86fbf81159,https://upload.wikimedia.org/wikipedia/commons/d/d8/Escut-_del_Pa%C3%ADs_Valenci%C3%A0_als_Torres_dels_Serrans.jpg,94881,http://commons.wikimedia.org/wiki/Category:Torres_de_Serrans,castle / fort,human-made
b34c0bc2806c21a0,https://upload.wikimedia.org/wikipedia/commons/9/98/Peacock_in_Amabiki_Temple.jpg,9941,http://commons.wikimedia.org/wiki/Category:Rakuh%C5%8D-ji,buddhist temple,human-made
02fe92a9489014fe,https://upload.wikimedia.org/wikipedia/commons/1/14/Stonehenge%2C_Avebury_and_Associated_Sites-110981.jpg,90396,http://commons.wikimedia.org/wiki/Category:Stonehenge,archeological site,human-made
bec68afbaf363a48,https://upload.wikimedia.org/wikipedia/commons/6/60/Rio_de_Janeiro%2C_la_minuscule_plage_rouge_ou_plage_vermeil%2C.jpg,151754,http://commons.wikimedia.org/wiki/Category:Praia_Vermelha_(Rio_de_Janeiro),beach,natural
